"","Saanich_010","Saanich_100","Saanich_120","Saanich_135","Saanich_150","Saanich_165","Saanich_200"
"Otu0432",27,16,17,5,2,4,9
"Otu0433",2,4,6,2,13,7,35
"Otu0434",74,15,22,18,11,4,9
"Otu0435",66,4,2,2,2,4,6
"Otu0436",66,2,7,10,2,4,13
"Otu0437",2,3,2,4,15,23,47
"Otu0438",2,2,2,20,8,2,36
"Otu0439",39,16,4,7,2,2,5
"Otu0440",11,26,37,2,68,17,5
"Otu0441",11,8,2,2,7,2,64
"Otu0442",2,39,16,9,2,2,4
"Otu0443",2,20,36,4,24,4,29
"Otu0444",5,31,21,4,2,6,2
"Otu0445",2,31,24,8,2,2,32
"Otu0446",12,4,23,9,23,4,9
"Otu0447",2,30,33,20,3,9,2
"Otu0448",2,39,16,7,2,4,6
"Otu0449",45,2,2,4,33,35,62
"Otu0450",60,2,2,5,2,6,15
"Otu0451",2,2,11,13,27,9,6
"Otu0452",6,8,4,2,7,50,8
"Otu0453",2,25,32,4,2,2,12
"Otu0454",13,20,26,6,5,4,6
"Otu0455",6,3,5,2,15,32,4
"Otu0456",49,25,10,13,12,2,6
"Otu0457",59,2,6,2,6,15,18
"Otu0458",16,26,7,10,2,2,2
"Otu0459",27,4,2,4,6,47,2
"Otu0460",2,17,32,8,2,2,2
"Otu0461",54,7,2,4,6,4,3
"Otu0462",2,10,15,4,2,24,5
"Otu0463",49,9,4,2,2,2,4
"Otu0464",2,42,13,2,2,2,4
"Otu0465",2,22,2,4,2,9,45
"Otu0466",12,25,13,6,5,21,3
"Otu0467",5,29,21,4,2,4,2
"Otu0468",10,2,11,28,17,21,58
"Otu0469",6,2,2,2,33,12,55
"Otu0470",2,15,37,3,4,9,4
"Otu0471",2,20,17,10,2,4,3
"Otu0472",7,34,4,5,2,6,4
"Otu0473",2,33,15,4,4,2,6
"Otu0474",10,16,4,16,13,4,2
"Otu0475",6,6,10,6,23,12,2
"Otu0476",14,20,17,8,2,2,2
"Otu0477",2,5,2,3,2,43,2
"Otu0478",52,9,6,2,23,17,6
"Otu0479",7,17,28,7,7,2,9
"Otu0480",8,3,10,21,15,3,2
"Otu0481",39,28,21,2,4,2,2
"Otu0482",2,2,2,2,4,2,49
"Otu0483",51,2,2,4,2,9,3
"Otu0484",51,2,2,2,7,2,22
"Otu0485",2,31,16,2,2,4,18
"Otu0486",20,23,6,2,2,2,2
"Otu0487",48,2,2,16,19,2,2
"Otu0488",22,17,29,4,13,85,4
"Otu0489",5,2,4,2,4,2,42
"Otu0490",2,4,2,6,2,4,46
"Otu0491",13,16,17,3,2,2,6
"Otu0492",14,2,4,3,8,38,22
"Otu0493",5,2,18,12,26,12,5
"Otu0494",74,2,6,8,13,22,5
"Otu0495",2,2,6,35,43,6,33892
"Otu0496",2,23,16,7,2,4,6
"Otu0497",2,2,45,79,44,69,48
"Otu0498",2,9,23,14,2,59,2
"Otu0499",48,7,2,2,2,3,4
"Otu0500",46,2,2,2,14,6,6
"Otu0501",48,2,2,4,2,17,2
"Otu0502",25,15,6,2,2,1,4
"Otu0503",31,8,2,7,32,2,9
"Otu0504",48,2,2,2,15,2,10
"Otu0505",2,2,4,2,2,2,45
"Otu0506",18,10,14,5,20,12,2
"Otu0507",44,2,2,2,7,11,3
"Otu0508",5,7,8,5,15,18,2
"Otu0509",4,8,9,19,8,2,2
"Otu0510",44,12,4,2,2,21,2
"Otu0511",44,2,2,9,6,9,2
"Otu0512",3,14,9,12,5,6,14
"Otu0513",2,2,3,4,2,2,44
"Otu0514",46,4,2,4,2,2,3
"Otu0515",5,4,34,2,6,2,26
"Otu0516",7,4,28,11,2,4,9
"Otu0517",45,2,2,2,15,7,6
"Otu0518",2,21,12,10,2,2,2
"Otu0519",2,28,10,7,2,4,31
"Otu0520",22,4,4,4,23,14,6
"Otu0521",7,9,18,11,21,7,6
"Otu0522",2,34,9,8,2,2,2
"Otu0523",22,4,2,2,2,44,3
"Otu0524",44,2,6,5,4,2,4
"Otu0525",25,3,9,18,6,11,32
"Otu0526",2,2,10,13,19,2,5
"Otu0527",5,18,23,3,2,2,2
"Otu0528",42,2,2,2,2,2,7
"Otu0529",2,2,2,2,3,23,44
"Otu0530",2,3,14,5,20,2,2
"Otu0531",11,14,4,11,4,21,2
"Otu0532",7,2,3,10,23,7,43
"Otu0533",2,7,26,7,3,18,4
"Otu0534",43,2,92,66,14,2,2
"Otu0535",4,24,7,2,2,4,4
"Otu0536",5,2,9,12,18,2,2
"Otu0537",42,6,4,2,21,20,18
"Otu0538",7,2,13,17,12,2,2
"Otu0539",2,2,4,7,2,4,36
"Otu0540",2,10,7,8,8,6,2
"Otu0541",2,4,12,16,13,2,2
"Otu0542",29,2,2,2,5,2,10
"Otu0543",5,4,11,6,2,18,18
"Otu0544",7,9,21,2,2,7,4
"Otu0545",2,2,2,4,18,7,10
"Otu0546",2,2,3,8,2,9,41
"Otu0547",39,2,33,24,2,2,6
"Otu0548",2,12,19,10,3,2,18
"Otu0549",74,3,4,7,6,37,3
"Otu0550",2,9,12,13,7,2,100
"Otu0551",13,6,2,2,6,33,20
"Otu0552",2,11,20,8,2,2,2
"Otu0553",7,15,14,5,2,2,18
"Otu0554",14,2,2,2,102,17,41
"Otu0555",28,6,2,2,2,9,20
"Otu0556",40,2,4,2,2,2,2
"Otu0557",28,31,7,2,2,4,2
"Otu0558",2,2,2,10,4,3,40
"Otu0559",5,16,15,4,4,4,32
"Otu0560",2,11,20,4,4,33,4
"Otu0561",2,25,10,2,2,2,10
"Otu0562",19,6,8,4,2,2,6
"Otu0563",2,2,2,2,2,23,14
"Otu0564",2,15,11,6,2,7,3
"Otu0565",39,19,4,2,13,2,9
"Otu0566",2,4,2,2,10,2,39
"Otu0567",11,7,15,15,2,9,2
"Otu0568",4,47,18,8,4,7,2
"Otu0569",34,2,2,4,2,2,3
"Otu0570",6,13,13,14,22,38,4
"Otu0571",11,5,10,2,15,6,32
"Otu0572",20,12,4,2,2,17,2
"Otu0573",38,4,5,8,2,4,13
"Otu0574",2,2,30,2,4,85,292
"Otu0575",22,2,2,2,13,2,14
"Otu0576",20,9,4,2,4,2,3
"Otu0577",12,10,11,16,2,4,33
"Otu0578",22,4,16,11,6,4,18
"Otu0579",2,3,2,2,12,2,37
"Otu0580",2,29,6,2,2,2,3
"Otu0581",35,2,9,9,2,2,7
"Otu0582",1,6,4,2,26,9,18
"Otu0583",6,2,2,2,4,2,35
"Otu0584",2,4,4,2,6,31,22
"Otu0585",39,14,19,4,33,156,2
"Otu0586",4,11,9,9,7,2,3
"Otu0587",36,2,2,4,2,3,14
"Otu0588",13,25,11,20,3,2,4
"Otu0589",2,14,10,10,2,2,2
"Otu0590",6,13,18,5,2,6,4
"Otu0591",34,2,2,4,2,9,7
"Otu0592",11,9,18,6,2,2,4
"Otu0593",2,13,13,7,2,2,10
"Otu0594",4,8,6,17,4,2,2
"Otu0595",2,4,4,2,4,25,2
"Otu0596",2,4,40,21,20,22,35
"Otu0597",35,2,2,8,2,2,89
"Otu0598",4,4,8,16,2,9,2
"Otu0599",21,10,2,2,2,2,5
"Otu0600",4,8,14,2,44,8,3
"Otu0601",15,6,2,5,4,7,15
"Otu0602",13,2,2,8,2,30,4
"Otu0603",34,2,5,4,2,2,22
"Otu0604",5,14,15,5,2,2,8
"Otu0605",6,17,9,4,4,2,4
"Otu0606",2,24,6,2,12,4,22
"Otu0607",2,2,2,7,10,22,4
"Otu0608",6,22,6,4,2,3,2
"Otu0609",33,1,2,17,2,4,17
"Otu0610",44,23,6,4,2,9,2
"Otu0611",2,14,19,37,27,3,33892
"Otu0612",6,3,6,9,9,4,2
"Otu0613",2,16,11,6,2,4,117
"Otu0614",4,2,4,2,22,2,33
"Otu0615",2,11,16,4,2,4,9
"Otu0616",8,2,5,7,9,10,6
"Otu0617",1271,17,16,48,18,2,29
"Otu0618",14,14,5,4,2,6,2
"Otu0619",4,5,16,8,12,2,32
"Otu0620",105,2,2,4,3,29,4
"Otu0621",28,3,3,2,17,2,116
"Otu0622",28,4,2,17,2,2,17
"Otu0623",1687,1313,686,344,248,4,32
"Otu0624",2,2,2,4,2,6,32
"Otu0625",2,3,7,13,42,20,32
"Otu0626",2,13,9,8,2,4,12
"Otu0627",2,24,4,2,14,4,7
"Otu0628",3,5,2,4,4,6,28
"Otu0629",32,2,4,6,2,23,2
"Otu0630",2,2,20,6,2,2,4
"Otu0631",31,12,3,2,6,4,6
"Otu0632",2,14,15,2,7,2,2
"Otu0633",2,10,29,25,4,23,6
"Otu0634",22,2,28,2,2,27,2
"Otu0635",2,4,12,15,5,6,31
"Otu0636",74,7,2,2,47,24,31
"Otu0637",8,4,3,10,8,13,2
"Otu0638",2,2,10,9,6,4,117
"Otu0639",22,10,11,26,2,4,4
"Otu0640",21,8,2,2,2,17,100
"Otu0641",14,2,7,18,5,2,26
"Otu0642",2,6,19,5,7,6,2
"Otu0643",2,4,6,17,3,2,845
"Otu0644",10,9,2,7,2,21,2
"Otu0645",30,7,4,2,2,21,8
"Otu0646",30,10,2,2,2,17,2
