"Saanich_010"	"Saanich_100"	"Saanich_120"	"Saanich_135"	"Saanich_150"	"Saanich_165"	"Saanich_200"
"Asv506"	54	914	563	220	93	43	0
"Asv507"	0	0	22	0	0	0	0
"Asv508"	0	0	0	0	0	0	49
"Asv509"	36	0	0	0	0	0	0
"Asv510"	0	0	38	0	0	11	0
"Asv511"	0	0	34	0	0	0	0
"Asv512"	34	0	0	0	0	0	0
"Asv513"	0	26	0	69	49	0	0
"Asv514"	0	0	0	0	0	0	27
"Asv515"	0	0	0	0	0	0	12
"Asv516"	45	933	1177	779	594	326	0
"Asv517"	0	0	33	0	43	0	0
"Asv518"	0	26	0	57	48	0	0
"Asv519"	0	0	13	0	0	0	0
"Asv520"	0	47	29	26	26	0	0
"Asv521"	0	0	0	45	0	0	0
"Asv522"	0	19	0	0	41	30	0
"Asv523"	0	0	0	0	0	7	0
"Asv524"	0	32	0	0	0	0	0
"Asv525"	48	0	20	0	0	0	0
"Asv526"	0	0	0	24	0	0	0
"Asv527"	0	25	46	37	55	563	0
"Asv528"	0	0	25	0	33	29	0
"Asv529"	0	0	0	0	58	0	0
"Asv530"	89	64	92	29	47	0	0
"Asv531"	0	0	18	0	0	0	0
"Asv532"	324	0	0	0	0	0	0
"Asv533"	0	0	0	0	0	0	188
"Asv534"	0	0	0	0	0	4	0
"Asv535"	0	0	0	4	0	0	0
"Asv536"	0	0	78	0	30	0	0
"Asv537"	0	0	23	0	0	0	0
"Asv538"	0	0	0	18	0	0	0
"Asv539"	0	0	0	0	0	34	0
"Asv540"	0	0	0	18	0	0	0
"Asv541"	58	0	48	0	0	0	0
"Asv542"	0	0	0	0	7	0	0
"Asv543"	25	0	0	0	0	0	0
"Asv544"	34	0	0	0	0	0	0
"Asv545"	0	0	0	0	0	0	19
"Asv546"	5	0	0	0	0	5	0
"Asv547"	0	0	0	0	0	0	13
"Asv548"	0	0	0	0	7	0	0
"Asv549"	0	0	0	0	0	67	0
"Asv550"	0	23	0	0	0	19	0
"Asv551"	16	0	15	20	0	0	0
"Asv552"	0	53	0	0	0	0	0
"Asv553"	0	24	0	0	0	0	0
"Asv554"	0	0	0	0	0	19	0
"Asv555"	0	0	0	0	0	0	27
"Asv556"	0	31	0	0	0	0	0
"Asv557"	0	0	0	0	0	10	0
"Asv558"	1167	42	30	47	27	0	0
"Asv559"	0	0	0	0	0	0	57
"Asv560"	9	0	16	0	0	0	0
"Asv561"	0	0	25	0	0	0	0
"Asv562"	0	0	0	0	0	0	2
"Asv563"	0	19	0	0	0	0	0
"Asv564"	0	32	0	24	0	0	0
"Asv565"	63	0	0	0	0	0	0
"Asv566"	0	0	0	0	0	0	36
"Asv567"	0	29	0	24	0	0	0
"Asv568"	0	0	0	4	0	0	0
"Asv569"	0	0	0	0	0	0	17
"Asv570"	0	0	35	0	0	0	0
"Asv571"	0	0	0	0	0	0	21
"Asv572"	0	0	0	14	19	0	0
"Asv573"	0	0	0	9	0	0	0
"Asv574"	0	0	0	0	0	0	106
"Asv575"	0	0	0	0	0	26	0
"Asv576"	0	24	0	0	0	0	0
"Asv577"	0	0	0	0	0	8	0
"Asv578"	0	0	0	0	0	0	41
"Asv579"	0	0	0	40	76	54	0
"Asv580"	0	24	0	0	0	65	0
"Asv581"	0	0	5	0	0	5	0
"Asv582"	19	385	191	78	42	63	0
"Asv583"	946	276	218	170	98	0	0
"Asv584"	32	57	34	37	0	0	0
"Asv585"	0	0	0	9	0	0	0
"Asv586"	203	0	63	75	0	0	0
"Asv587"	0	52	39	35	0	0	0
"Asv588"	0	0	0	0	0	0	26
"Asv589"	0	52	47	0	53	0	0
"Asv590"	0	0	0	0	0	0	12
"Asv591"	0	0	0	0	0	35	0
"Asv592"	58	59	0	0	0	0	0
"Asv593"	93	1938	1071	411	189	339	0
"Asv594"	0	0	0	0	0	0	39
"Asv595"	25	54	54	21	0	65	0
"Asv596"	0	38	0	0	0	0	0
"Asv597"	2	0	0	0	0	0	0
"Asv598"	0	0	43	0	19	0	0
"Asv599"	54	0	0	22	0	0	0
"Asv600"	0	0	0	16	0	0	0
"Asv601"	0	0	16	0	0	0	0
"Asv602"	0	73	0	0	0	0	0
"Asv603"	0	0	0	0	0	0	12
"Asv604"	0	0	0	0	0	0	12
"Asv605"	11	36	61	40	0	0	0
"Asv606"	561	0	0	27	0	0	0
"Asv607"	0	0	0	24	0	0	0
"Asv608"	0	0	0	0	0	0	51
"Asv609"	0	0	0	0	0	0	703
